Produto,Quantidade (L.),ano,Categoria
Coquetel com vinho,0.0,1973,OUTROS PRODUTOS COMERCIALIZADOS
Destilado de vinho,1485567.0,1973,OUTROS PRODUTOS COMERCIALIZADOS
Filtrado doce,837970.0,1973,OUTROS PRODUTOS COMERCIALIZADOS
Jeropiga,0.0,1973,OUTROS PRODUTOS COMERCIALIZADOS
Mistelas,160470.0,1973,OUTROS PRODUTOS COMERCIALIZADOS
Mosto concentrado,0.0,1973,OUTROS PRODUTOS COMERCIALIZADOS
Mosto de uva,0.0,1973,OUTROS PRODUTOS COMERCIALIZADOS
Mosto sulfitado,1724244.0,1973,OUTROS PRODUTOS COMERCIALIZADOS
Nectar de uva,0.0,1973,OUTROS PRODUTOS COMERCIALIZADOS
Outros produtos,0.0,1973,OUTROS PRODUTOS COMERCIALIZADOS
Polpa de uva,0.0,1973,OUTROS PRODUTOS COMERCIALIZADOS
Preparado líquido para refresco,0.0,1973,OUTROS PRODUTOS COMERCIALIZADOS
Refrigerante +50% suco,0.0,1973,OUTROS PRODUTOS COMERCIALIZADOS
Sangria,0.0,1973,OUTROS PRODUTOS COMERCIALIZADOS
Vinagre balsamico,0.0,1973,OUTROS PRODUTOS COMERCIALIZADOS
Vinagre duplo,0.0,1973,OUTROS PRODUTOS COMERCIALIZADOS
Vinagre simples,1426737.0,1973,OUTROS PRODUTOS COMERCIALIZADOS
Vinho acetificado,0.0,1973,OUTROS PRODUTOS COMERCIALIZADOS
Vinho base para espumantes,0.0,1973,OUTROS PRODUTOS COMERCIALIZADOS
Vinho composto,4168841.0,1973,OUTROS PRODUTOS COMERCIALIZADOS
Vinho licoroso,2443944.0,1973,OUTROS PRODUTOS COMERCIALIZADOS
Vinho leve,0.0,1973,OUTROS PRODUTOS COMERCIALIZADOS
Vinho gaseificado,0.0,1973,OUTROS PRODUTOS COMERCIALIZADOS
Tinto,77167303.0,1974,VINHO DE MESA
Rosado,8891367.0,1974,VINHO DE MESA
Branco,8114654.0,1974,VINHO DE MESA
Tinto,1616144.0,1974,VINHO FINO DE MESA
Rosado,1725564.0,1974,VINHO FINO DE MESA
Branco,4230094.0,1974,VINHO FINO DE MESA
VINHO FRIZANTE,270641.0,1974,VINHO FRIZANTE
VINHO ORGÂNICO,0.0,1974,VINHO ORGÂNICO
Tinto,3763509.0,1974,VINHO ESPECIAL
Rosado,1989341.0,1974,VINHO ESPECIAL
Branco,1885634.0,1974,VINHO ESPECIAL
Espumante Moscatel,0.0,1974,ESPUMANTES
Espumante,0.0,1974,ESPUMANTES
Espumante Orgânico,0.0,1974,ESPUMANTES
Suco Natural Integral,0.0,1974,SUCO DE UVAS
Suco Adoçado,0.0,1974,SUCO DE UVAS
Suco Reprocessado/reconstituido,0.0,1974,SUCO DE UVAS
Suco Orgânico,0.0,1974,SUCO DE UVAS
Outros sucos de uvas,0.0,1974,SUCO DE UVAS
SUCO DE UVAS CONCENTRADO,1619428.0,1974,SUCO DE UVAS CONCENTRADO
Outros vinhos (sem informação detalhada),0.0,1974,OUTROS PRODUTOS COMERCIALIZADOS
"Agrin (fermentado, acetico misto)",0.0,1974,OUTROS PRODUTOS COMERCIALIZADOS
Aguardente de vinho 50°gl,0.0,1974,OUTROS PRODUTOS COMERCIALIZADOS
Alcool vinico,0.0,1974,OUTROS PRODUTOS COMERCIALIZADOS
Bagaceira (graspa),839441.0,1974,OUTROS PRODUTOS COMERCIALIZADOS
Base champenoise champanha,0.0,1974,OUTROS PRODUTOS COMERCIALIZADOS
Base charmat champanha,0.0,1974,OUTROS PRODUTOS COMERCIALIZADOS
Base espumante moscatel,0.0,1974,OUTROS PRODUTOS COMERCIALIZADOS
Bebida de uva,0.0,1974,OUTROS PRODUTOS COMERCIALIZADOS
Borra líquida,0.0,1974,OUTROS PRODUTOS COMERCIALIZADOS
Borra seca,0.0,1974,OUTROS PRODUTOS COMERCIALIZADOS
Brandy (conhaque),12885577.0,1974,OUTROS PRODUTOS COMERCIALIZADOS
Cooler,0.0,1974,OUTROS PRODUTOS COMERCIALIZADOS
Coquetel com vinho,0.0,1974,OUTROS PRODUTOS COMERCIALIZADOS
Destilado de vinho,1409986.0,1974,OUTROS PRODUTOS COMERCIALIZADOS
Filtrado doce,1039110.0,1974,OUTROS PRODUTOS COMERCIALIZADOS
Jeropiga,0.0,1974,OUTROS PRODUTOS COMERCIALIZADOS
Mistelas,45878.0,1974,OUTROS PRODUTOS COMERCIALIZADOS
Mosto concentrado,761417.0,1974,OUTROS PRODUTOS COMERCIALIZADOS
Mosto de uva,0.0,1974,OUTROS PRODUTOS COMERCIALIZADOS
Mosto sulfitado,239200.0,1974,OUTROS PRODUTOS COMERCIALIZADOS
Nectar de uva,0.0,1974,OUTROS PRODUTOS COMERCIALIZADOS
Outros produtos,0.0,1974,OUTROS PRODUTOS COMERCIALIZADOS
Polpa de uva,0.0,1974,OUTROS PRODUTOS COMERCIALIZADOS
Preparado líquido para refresco,0.0,1974,OUTROS PRODUTOS COMERCIALIZADOS
Refrigerante +50% suco,0.0,1974,OUTROS PRODUTOS COMERCIALIZADOS
Sangria,0.0,1974,OUTROS PRODUTOS COMERCIALIZADOS
Vinagre balsamico,0.0,1974,OUTROS PRODUTOS COMERCIALIZADOS
Vinagre duplo,0.0,1974,OUTROS PRODUTOS COMERCIALIZADOS
Vinagre simples,1717666.0,1974,OUTROS PRODUTOS COMERCIALIZADOS
Vinho acetificado,0.0,1974,OUTROS PRODUTOS COMERCIALIZADOS
Vinho base para espumantes,0.0,1974,OUTROS PRODUTOS COMERCIALIZADOS
Vinho composto,3670736.0,1974,OUTROS PRODUTOS COMERCIALIZADOS
Vinho licoroso,1921867.0,1974,OUTROS PRODUTOS COMERCIALIZADOS
Vinho leve,0.0,1974,OUTROS PRODUTOS COMERCIALIZADOS
Vinho gaseificado,0.0,1974,OUTROS PRODUTOS COMERCIALIZADOS
Tinto,91528090.0,1975,VINHO DE MESA
Rosado,7261777.0,1975,VINHO DE MESA
Branco,9241925.0,1975,VINHO DE MESA
Tinto,2050960.0,1975,VINHO FINO DE MESA
Rosado,2130619.0,1975,VINHO FINO DE MESA
Branco,4666724.0,1975,VINHO FINO DE MESA
VINHO FRIZANTE,301293.0,1975,VINHO FRIZANTE
VINHO ORGÂNICO,0.0,1975,VINHO ORGÂNICO
Tinto,4815235.0,1975,VINHO ESPECIAL
Rosado,2885972.0,1975,VINHO ESPECIAL
Branco,2559238.0,1975,VINHO ESPECIAL
Espumante Moscatel,0.0,1975,ESPUMANTES
Espumante,0.0,1975,ESPUMANTES
Espumante Orgânico,0.0,1975,ESPUMANTES
Suco Natural Integral,0.0,1975,SUCO DE UVAS
Suco Adoçado,0.0,1975,SUCO DE UVAS
Suco Reprocessado/reconstituido,0.0,1975,SUCO DE UVAS
Suco Orgânico,0.0,1975,SUCO DE UVAS
Outros sucos de uvas,0.0,1975,SUCO DE UVAS
SUCO DE UVAS CONCENTRADO,768401.0,1975,SUCO DE UVAS CONCENTRADO
Outros vinhos (sem informação detalhada),0.0,1975,OUTROS PRODUTOS COMERCIALIZADOS
"Agrin (fermentado, acetico misto)",0.0,1975,OUTROS PRODUTOS COMERCIALIZADOS
Aguardente de vinho 50°gl,0.0,1975,OUTROS PRODUTOS COMERCIALIZADOS
Alcool vinico,0.0,1975,OUTROS PRODUTOS COMERCIALIZADOS
Bagaceira (graspa),706946.0,1975,OUTROS PRODUTOS COMERCIALIZADOS
Base champenoise champanha,0.0,1975,OUTROS PRODUTOS COMERCIALIZADOS
Base charmat champanha,0.0,1975,OUTROS PRODUTOS COMERCIALIZADOS
Base espumante moscatel,0.0,1975,OUTROS PRODUTOS COMERCIALIZADOS
Bebida de uva,0.0,1975,OUTROS PRODUTOS COMERCIALIZADOS
Borra líquida,0.0,1975,OUTROS PRODUTOS COMERCIALIZADOS
Borra seca,0.0,1975,OUTROS PRODUTOS COMERCIALIZADOS
Brandy (conhaque),11418527.0,1975,OUTROS PRODUTOS COMERCIALIZADOS
Cooler,0.0,1975,OUTROS PRODUTOS COMERCIALIZADOS
Coquetel com vinho,0.0,1975,OUTROS PRODUTOS COMERCIALIZADOS
Destilado de vinho,1793135.0,1975,OUTROS PRODUTOS COMERCIALIZADOS
Filtrado doce,1353194.0,1975,OUTROS PRODUTOS COMERCIALIZADOS
Jeropiga,0.0,1975,OUTROS PRODUTOS COMERCIALIZADOS
Mistelas,272141.0,1975,OUTROS PRODUTOS COMERCIALIZADOS
Mosto concentrado,251197.0,1975,OUTROS PRODUTOS COMERCIALIZADOS
Mosto de uva,0.0,1975,OUTROS PRODUTOS COMERCIALIZADOS
Mosto sulfitado,34300.0,1975,OUTROS PRODUTOS COMERCIALIZADOS
Nectar de uva,0.0,1975,OUTROS PRODUTOS COMERCIALIZADOS
Outros produtos,0.0,1975,OUTROS PRODUTOS COMERCIALIZADOS
Polpa de uva,0.0,1975,OUTROS PRODUTOS COMERCIALIZADOS
Preparado líquido para refresco,0.0,1975,OUTROS PRODUTOS COMERCIALIZADOS
Refrigerante +50% suco,0.0,1975,OUTROS PRODUTOS COMERCIALIZADOS
Sangria,0.0,1975,OUTROS PRODUTOS COMERCIALIZADOS
Vinagre balsamico,0.0,1975,OUTROS PRODUTOS COMERCIALIZADOS
Vinagre duplo,0.0,1975,OUTROS PRODUTOS COMERCIALIZADOS
Vinagre simples,1574960.0,1975,OUTROS PRODUTOS COMERCIALIZADOS
Vinho acetificado,0.0,1975,OUTROS PRODUTOS COMERCIALIZADOS
Vinho base para espumantes,0.0,1975,OUTROS PRODUTOS COMERCIALIZADOS
Vinho composto,3493104.0,1975,OUTROS PRODUTOS COMERCIALIZADOS
Vinho licoroso,2205036.0,1975,OUTROS PRODUTOS COMERCIALIZADOS
Vinho leve,0.0,1975,OUTROS PRODUTOS COMERCIALIZADOS
Vinho gaseificado,0.0,1975,OUTROS PRODUTOS COMERCIALIZADOS
Tinto,116407222.0,1976,VINHO DE MESA
Rosado,11748047.0,1976,VINHO DE MESA
Branco,11083345.0,1976,VINHO DE MESA
Tinto,4450570.0,1976,VINHO FINO DE MESA
Rosado,3118919.0,1976,VINHO FINO DE MESA
Branco,6526159.0,1976,VINHO FINO DE MESA
VINHO FRIZANTE,248456.0,1976,VINHO FRIZANTE
VINHO ORGÂNICO,0.0,1976,VINHO ORGÂNICO
Tinto,4819463.0,1976,VINHO ESPECIAL
Rosado,4231765.0,1976,VINHO ESPECIAL
Branco,3341497.0,1976,VINHO ESPECIAL
Espumante Moscatel,0.0,1976,ESPUMANTES
Espumante,0.0,1976,ESPUMANTES
Espumante Orgânico,0.0,1976,ESPUMANTES
Suco Natural Integral,0.0,1976,SUCO DE UVAS
Suco Adoçado,0.0,1976,SUCO DE UVAS
Suco Reprocessado/reconstituido,0.0,1976,SUCO DE UVAS
Suco Orgânico,0.0,1976,SUCO DE UVAS
Outros sucos de uvas,0.0,1976,SUCO DE UVAS
SUCO DE UVAS CONCENTRADO,1467883.0,1976,SUCO DE UVAS CONCENTRADO
Outros vinhos (sem informação detalhada),0.0,1976,OUTROS PRODUTOS COMERCIALIZADOS
"Agrin (fermentado, acetico misto)",0.0,1976,OUTROS PRODUTOS COMERCIALIZADOS
Aguardente de vinho 50°gl,0.0,1976,OUTROS PRODUTOS COMERCIALIZADOS
Alcool vinico,0.0,1976,OUTROS PRODUTOS COMERCIALIZADOS
Bagaceira (graspa),698399.0,1976,OUTROS PRODUTOS COMERCIALIZADOS
Base champenoise champanha,0.0,1976,OUTROS PRODUTOS COMERCIALIZADOS
Base charmat champanha,0.0,1976,OUTROS PRODUTOS COMERCIALIZADOS
Base espumante moscatel,0.0,1976,OUTROS PRODUTOS COMERCIALIZADOS
Bebida de uva,0.0,1976,OUTROS PRODUTOS COMERCIALIZADOS
Borra líquida,0.0,1976,OUTROS PRODUTOS COMERCIALIZADOS
Borra seca,0.0,1976,OUTROS PRODUTOS COMERCIALIZADOS
Brandy (conhaque),14938849.0,1976,OUTROS PRODUTOS COMERCIALIZADOS
Cooler,0.0,1976,OUTROS PRODUTOS COMERCIALIZADOS
Coquetel com vinho,0.0,1976,OUTROS PRODUTOS COMERCIALIZADOS
Destilado de vinho,1373075.0,1976,OUTROS PRODUTOS COMERCIALIZADOS
Filtrado doce,1792832.0,1976,OUTROS PRODUTOS COMERCIALIZADOS
Jeropiga,48203.0,1976,OUTROS PRODUTOS COMERCIALIZADOS
Mistelas,88300.0,1976,OUTROS PRODUTOS COMERCIALIZADOS
Mosto concentrado,309196.0,1976,OUTROS PRODUTOS COMERCIALIZADOS
Mosto de uva,0.0,1976,OUTROS PRODUTOS COMERCIALIZADOS
Mosto sulfitado,420300.0,1976,OUTROS PRODUTOS COMERCIALIZADOS
Nectar de uva,0.0,1976,OUTROS PRODUTOS COMERCIALIZADOS
Outros produtos,0.0,1976,OUTROS PRODUTOS COMERCIALIZADOS
Polpa de uva,0.0,1976,OUTROS PRODUTOS COMERCIALIZADOS
Preparado líquido para refresco,0.0,1976,OUTROS PRODUTOS COMERCIALIZADOS
Refrigerante +50% suco,0.0,1976,OUTROS PRODUTOS COMERCIALIZADOS
Sangria,0.0,1976,OUTROS PRODUTOS COMERCIALIZADOS
Vinagre balsamico,0.0,1976,OUTROS PRODUTOS COMERCIALIZADOS
Vinagre duplo,0.0,1976,OUTROS PRODUTOS COMERCIALIZADOS
Vinagre simples,748459.0,1976,OUTROS PRODUTOS COMERCIALIZADOS
Vinho acetificado,0.0,1976,OUTROS PRODUTOS COMERCIALIZADOS
